Time,EB_Left,EB_Thru,EB_Right,EB_U,EB_Peds,WB_Left,WB_Thru,WB_Right,WB_U,WB_Peds,NB_Left,NB_Thru,NB_Right,NB_U,NB_Peds,SB_Left,SB_Thru,SB_Right,SB_U,SB_Peds,Vehicle_Total
7:00,0,36,,,,,10,1,,,,,,,,9,,0,,,56
7:15,2,38,,,,,16,0,,,,,,,,9,,2,,,67
7:30,3,36,,,,,23,1,,,,,,,,9,,3,,,75
7:45,2,23,,,,,24,0,,,,,,,,16,,0,,,65
8:00,0,34,,,,,15,2,,,,,,,,15,,0,,,66
8:15,2,34,,,,,17,0,,,,,,,,14,,3,,,70
8:30,2,29,,,,,24,1,,,,,,,,10,,3,,,69
8:45,2,19,,,,,11,1,,,,,,,,7,,8,,,48
16:00,10,25,,,0,,43,7,,0,,,,,,14,,7,,0,106
16:15,6,23,,,0,,32,2,,2,,,,,,5,,8,,1,76
16:30,5,15,,,0,,32,13,,0,,,,,,12,,15,,0,92
16:45,2,28,,,1,,35,5,,0,,,,,,8,,8,,0,86
17:00,6,25,,,0,,29,8,,0,,,,,,11,,4,,0,83
17:15,9,33,,,0,,30,14,,0,,,,,,19,,5,,1,110
17:30,6,23,,,0,,32,6,,0,,,,,,11,,4,,0,82
17:45,6,16,,,0,,25,7,,0,,,,,,14,,11,,0,79
,,,,,,,,,,,,,,,,,,,,,
