Time,EB_Left,EB_Thru,EB_Right,EB_U,EB_Peds,WB_Left,WB_Thru,WB_Right,WB_U,WB_Peds,NB_Left,NB_Thru,NB_Right,NB_U,NB_Peds,SB_Left,SB_Thru,SB_Right,SB_U,SB_Peds,Vehicle_Total
7:00,,,,,,0,,2,,,,0,1,,,1,9,,,,13
7:15,,,,,,3,,1,,,,1,1,,,1,8,,,,15
7:30,,,,,,2,,2,,,,3,0,,,1,10,,,,18
7:45,,,,,,2,,1,,,,1,1,,,4,13,,,,22
8:00,,,,,,0,,1,,,,0,2,,,3,15,,,,21
8:15,,,,,,3,,2,,,,0,2,,,5,15,,,,27
8:30,,,,,,4,,2,,,,1,2,,,6,8,,,,23
8:45,,,,,,7,,2,,,,2,1,,,1,8,,,,21
16:00,,,,,,14,,4,,,,4,13,,,20,11,,,,66
16:15,,,,,,15,,9,,,,2,12,,,14,7,,,,59
16:30,,,,,,13,,8,,,,2,5,,,9,7,,,,44
16:45,,,,,,12,,4,,,,0,12,,,6,7,,,,41
17:00,,,,,,14,,15,,,,1,9,,,6,4,,,,49
17:15,,,,,,12,,6,,,,1,13,,,1,10,,,,43
17:30,,,,,,7,,6,,,,1,9,,,8,8,,,,39
17:45,,,,,,8,,8,,,,1,10,,,8,5,,,,40
,,,,,,,,,,,,,,,,,,,,,
