Time,EB_Left,EB_Thru,EB_Right,EB_U,EB_Peds,WB_Left,WB_Thru,WB_Right,WB_U,WB_Peds,NB_Left,NB_Thru,NB_Right,NB_U,NB_Peds,SB_Left,SB_Thru,SB_Right,SB_U,SB_Peds,Vehicle_Total
7:00,95,67,51,,,10,115,8,,,36,32,6,,,5,224,210,,,859
7:15,81,61,63,,,14,125,17,,,39,50,10,,,7,214,222,,,903
7:30,72,64,51,,,16,107,22,,,39,59,2,,,14,200,178,,,824
7:45,79,73,62,,,22,95,17,,,35,69,3,,,17,162,124,,,758
8:00,92,70,39,,,23,69,19,,,32,71,6,,,14,140,121,,,696
8:15,70,46,30,,,15,115,17,,,52,78,9,,,14,140,107,,,693
8:30,91,78,34,,,15,80,9,,,33,53,4,,,13,133,111,,,654
8:45,80,57,23,,,11,46,18,,,22,68,5,,,13,92,79,,,514
16:00,156,134,37,,,30,88,30,,0,53,165,28,,0,21,138,117,,,997
16:15,174,152,38,,,35,89,32,,0,52,123,20,,0,27,101,91,,,934
16:30,132,116,36,,,33,99,38,,0,64,168,20,,0,19,99,113,,,937
16:45,209,137,40,,,30,87,39,,0,56,160,25,,0,22,95,83,,,983
17:00,146,119,22,,,23,92,28,,0,71,184,21,,0,20,105,110,,,941
17:15,189,127,29,,,34,90,37,,0,49,166,31,,0,32,94,97,,,975
17:30,161,122,49,,,25,78,31,,0,42,149,17,,1,32,111,84,,,901
17:45,167,96,30,,,33,63,32,,1,43,155,23,,0,29,84,85,,,840
